Created by Online2PDF.com,,,,,,,,,,
TABEL BUKU INDUK,,,,,,,,,,
Ex JAKARTA - EFEKTIF: 15 APRIL 2013,,,,,,,,,,
Wilayah Kota,,,,,,,,,,
abc,,,,,,,,,,
Coding,,Kabupaten,Kecamatan,City Code,,,OKE,,TARIF YES,Page
,,,,,TARIF,ETD,TARIF,ETD,,
,,,,,,,,,,
AMI10000,,Mataram,Mataram,AMI,25000,1 - 2,22000,2 - 3,32000,1
AMI10011,,Mataram,Ampenan,AMI,25000,1 - 2,22000,2 - 3,32000,1
AMI10012,,Mataram,Cakranegara,AMI,25000,1 - 2,22000,2 - 3,32000,1
AMI20100,,Bima,Bima,AMI,35000,2 - 3,30000,3 - 6,-,1
AMI20111,,Bima,Asakota,AMI,35000,2 - 3,30000,3 - 6,-,1
AMI20112,,Bima,Rasanae Barat,AMI,35000,2 - 3,30000,3 - 6,-,1
AMI20113,,Bima,Rasanae Timur,AMI,35000,2 - 3,30000,3 - 6,-,1
AMI20114,,Bima,Raba,AMI,35000,2 - 3,30000,3 - 6,-,1
AMI20115,,Bima,Mpunda,AMI,35000,2 - 3,30000,3 - 6,-,1
AMI20200,,Dompu,Dompu,AMI,35000,2 - 3,30000,3 - 6,-,1
AMI20201,,Dompu,Hu'u,AMI,66000,10~,-,-,-,1
AMI20202,,Dompu,Kempo,AMI,66000,10~,-,-,-,1
AMI20203,,Dompu,Kilo,AMI,66000,10~,-,-,-,1
AMI20204,,Dompu,Pajo,AMI,66000,10~,-,-,-,1
AMI20205,,Dompu,Pekat,AMI,66000,10~,-,-,-,1
AMI20206,,Dompu,Woja,AMI,44000,3 - 6,38000,4 - 7,-,1
AMI20207,,Dompu,Manggelewa,AMI,44000,3 - 6,38000,4 - 7,-,1
AMI20300,,Lombok Tengah,Praya,AMI,35000,2 - 3,30000,3 - 6,-,1
AMI20301,,Lombok Tengah,Batukliang,AMI,44000,3 - 6,38000,4 - 7,-,1
AMI20302,,Lombok Tengah,Janapria,AMI,44000,3 - 6,38000,4 - 7,-,1
AMI20303,,Lombok Tengah,Jonggat,AMI,44000,3 - 6,38000,4 - 7,-,1
AMI20304,,Lombok Tengah,Kopang,AMI,44000,3 - 6,38000,4 - 7,-,1
AMI20305,,Lombok Tengah,Praya Barat,AMI,35000,2 - 3,30000,3 - 6,-,1
AMI20306,,Lombok Tengah,Praya Timur,AMI,35000,2 - 3,30000,3 - 6,-,1
AMI20307,,Lombok Tengah,Pringgarata,AMI,44000,3 - 6,38000,4 - 7,-,1
AMI20308,,Lombok Tengah,Pujut,AMI,44000,3 - 6,38000,4 - 7,-,1
AMI20310,,Lombok Tengah,Batukliang Utara,AMI,44000,3 - 6,38000,4 - 7,-,1
AMI20311,,Lombok Tengah,Praya Barat Daya,AMI,35000,2 - 3,30000,3 - 6,-,1
AMI20312,,Lombok Tengah,Praya Tengah,AMI,35000,2 - 3,30000,3 - 6,-,1
AMI20400,,Lombok Timur,Selong,AMI,35000,2 - 3,30000,3 - 6,-,1
AMI20401,,Lombok Timur,Aikmel,AMI,44000,3 - 6,38000,4 - 7,-,1
